"Id","Name","Short.description","Gender","Country","Occupation","Birth.year","Death.year","Manner.of.death","Age.of.death"
"Q50340362","Holt Samuel Hallett","British railway engineer and author","","United Kingdom of Great Britain and Ireland","Engineer",1850,1911,"",61
"Q29345568","Magdalena Schönauer","österreichische Brandstifterin","Female","Austrian Empire","",1778,1828,"",50
"Q5933241","John Flinders Petrie","British mathematician","Male","","Researcher",1907,1972,"",65
"Q455266","Ingrid Jonker","South African poet","Female","South Africa","Artist",1933,1965,"suicide",32
"Q17383702","Hugo Schulman","Finnish military personnel","Male","Finland","Researcher",1850,1919,"",69
"Q1995087","Norbert Hougardy","Belgian politician","Male","Belgium","Politician",1909,1985,"",76
"Q5571424","Volrath Berg","Swedish politician","","Sweden","Politician",1855,1942,"",87
"Q27504166","Peter Bertlings","kunstschilder","Male","","Artist",1885,1982,"",97
"Q1533955","Jakob Scherer","German politician and jurist (1817-1890)","","Germany","Politician",1817,1890,"",73
"Q2959142","Charles Fréry","French politician and physician","Male","France","Politician",1846,1891,"",45
"Q55892334","Johann Samuel Klüber","","Male","","",1776,1842,"",66
"Q17068815","W. D. Gosset","British Army officer and official","Male","United Kingdom of Great Britain and Ireland","Military personnel",1822,1899,"",77
"Q3764770","Gino Zappa","Italian economist","Male","Italy; Kingdom of Italy","Businessperson",1879,1960,"",81
"Q4888661","Benjamin Franklin Pearson","Canadian politician","Male","Canada","Politician",1855,1912,"",57
"Q3173201","Jean Leurechon","French mathematician","Male","France","Researcher",1591,1670,"",79
"Q11771786","Maurycy O'Brien de Lacy","","","","",1891,1978,"",87
"Q16062200","Robert Cribb","Australian politician","Male","","Politician",1805,1893,"",88
"Q28677459","Osvaldo Artico","association football player (1898-1971)","Male","Brazil","Athlete",1898,1971,"",73
"Q21543204","Giovanni Faglia","1930-; Medico. Endocrinologo, docente universitario. Nato a Milano.","Male","","",1930,2012,"",82
"Q211646","Anatoly Logunov","Russian physicist (1926-2015)","Male","Russia; Soviet Union","Researcher",1926,2015,"",89
"Q499284","J. S. Sirén","Finnish architect","Male","Finland","Teacher",1889,1961,"",72
"Q473771","Hermann Struck","German Jewish painter, officer, translator and etcher (1876-1944)","Male","Germany","Artist",1876,1944,"",68
"Q7944168","Václav Zítek","Czech music educator and opera singer","Male","Czech Republic","Artist",1932,2011,"",79
"Q6222668","John Bowes","English cricketer (1918-1969)","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Athlete",1918,1969,"",51
"Q56567335","Donald S. McClure","chemist","Male","","Researcher",1920,2017,"",97
"Q1733151","Karl Theisinger","German economist","Male","Germany","Businessperson",1901,1949,"",48
"Q5671603","Harry Pitts","British death on the underground","Male","","",1861,1897,"",36
"Q56433752","John Joseph Butler","","Male","","",1883,1966,"",83
"Q2848216","André Mahé","French writer","Male","France","Artist",1908,1982,"",74
"Q1630037","Horst Wagner","German trade unionist and politician (1931-2011)","Male","Germany","Politician",1931,2011,"",80
"Q6277370","Tōjirō Hirayama","militair","","","Military personnel",1851,1910,"",59
"Q5628515","H. Reid","American photographer and historian","Male","United States of America","Researcher",1925,1992,"",67
"Q6281390","Joseph Battisto","American politician","Male","United States of America","Politician",1931,2014,"",83
"Q16298159","Elio Carmichael","Mexican painter","","Mexico","Artist",1935,2014,"",79
"Q7326571","Richard Howitt","British writer","Male","Kingdom of Great Britain; United Kingdom of Great Britain and Ireland","Artist",1799,1869,"",70
"Q1539484","Gottfried Tröger","German politician (1935-2016)","Male","Germany","Politician",1935,2016,"",81
"Q3769949","Giuseppe Altobello","Italian physician, poet and writer","","Kingdom of Italy","Artist",1869,1931,"",62
"Q33104597","Jean-Claude Roehrig","généalogiste, dirigeant de société","Male","","",1940,2019,"",79
"Q1357221","Job Durfee","American politician (1790-1847)","Male","United States of America","Artist",1790,1847,"",57
"Q1465463","Heinrich Reese","architect and politician (1843-1919)","Male","Switzerland; Germany","Politician",1843,1919,"",76
"Q5752031","Carlos Vallejo Márquez","ingenieur","Male","","Engineer",1902,1986,"",84
"Q5660514","Harold Dow","American journalist","Male","United States of America","Journalist",1947,2010,"",63
"Q5816365","Hugo Hult","Swedish military personnel","Male","Sweden","Military personnel",1861,1934,"",73
"Q2663573","Jean-François Hennequin","Belgian politician","Male","Belgium","Politician",1772,1846,"",74
"Q1525080","Gino Birindelli","Italian politician and officer (1911-2008)","Male","Italy; Kingdom of Italy","Politician",1911,2008,"",97
"Q3265452","Lucien Daudet","French writer (1878-1946)","Male","France","Artist",1878,1946,"",68
"Q7332232","Ricky Womack","American boxer","Male","United States of America","Athlete",1961,2002,"suicide",41
"Q7362371","Romanas Plečkaitis","Lithuanian philosopher","Male","Lithuania","Philosopher",1933,2009,"",76
"Q58674632","Józef Jarzębowski","schrijver","Male","","Researcher",1897,1964,"",67
"Q23989388","Fritz Olsen","non-fictieschrijver","Male","","",1854,1934,"",80
"Q29428941","Friedrich Latendorf","German painter","Male","","Artist",1866,1935,"",69
"Q5344135","Edward Lewis Tullis","American Methodist bishop","Male","","Religious figure",1917,2005,"",88
"Q12016886","František Antonín Švercl","Czech roman catholic priest","Male","","Religious figure",1931,2004,"",73
"Q62774","Karl Mauss","German World War II general; dentist","Male","Germany","Military personnel",1898,1959,"natural causes",61
"Q50826721","Jules Pilloy","archeoloog","Male","","",1830,1922,"",92
"Q17383095","Heino Pätiälä","Finnish priest","Male","Finland","Artist",1880,1950,"",70
"Q6230340","John Duncan","Reform Party Member of Parliament in New Zealand","Male","New Zealand","Politician",1848,1924,"",76
"Q237659","Penny Marshall","American actress, director and producer (1943-2018)","Female","United States of America","Artist",1943,2018,"natural causes",75
"Q18203277","María Michelsen Lombana","Colombian scientist and First Lady of Colombia","","Colombia","Researcher",1890,1949,"",59
"Q16015196","John Maginnis","British politician (1919-2001)","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Politician",1919,2001,"",82
"Q17417917","Herbert Ender","deutscher SA-Führer und Opfer des Röhmputsches","Male","Germany","",1903,1934,"",31
"Q5362653","Elizabeth Cutter Morrow","American poet","Female","United States of America","Artist",1873,1955,"",82
"Q1532615","Paul Wilhelm Tubbecke","German painter (1848-1924)","Male","Germany","Artist",1848,1924,"",76
"Q12022800","Jan Lužný","Czech gardener","Male","","Gardener",1926,2013,"",87
"Q60693676","Edward Kinderman","rallynavigator","Male","Poland","Co-driver",1934,2012,"",78
"Q2014098","Gerard Donck","painter from the Northern Netherlands (1610-1640)","Male","Netherlands","Artist",1610,1640,"",30
"Q5018687","Frank Plicka","Australian photographer","Male","Czech Republic; Australia","Artist",1926,2010,"",84
"Q5298616","Dorothy Samuelson-Sandvid","English dialect writer","Female","United Kingdom; United Kingdom of Great Britain and Ireland","Artist",1902,1989,"",87
"Q55685236","Johann Ernst Ritsert","onderwijzer","Male","","Teacher",1773,1851,"",78
"Q5577503","Johan Fredrik Rudolf Björck","Swedish politician","Male","Sweden","Politician",1837,1894,"",57
"Q75769076","Sir John Peter Crisp, 4th Bt.","(1925-2005)","Male","","",1925,2005,"",80
"Q19787511","Mia Goossen","Dutch actress","Female","Kingdom of the Netherlands","Artist",1925,1970,"",45
"Q18639720","Caspar Wistar Hodge, Sr.","biblical scholar","Male","","Biblical scholar",1830,1891,"",61
"Q39492051","Karl Meyer","politician","Male","","Politician",1761,1847,"",86
"Q7528649","Sir Richard Pole","English knight","Male","","",1462,1505,"",43
"Q16855598","François-Joseph Robert de Lignerac","French politician","","France","Politician",1820,1905,"",85
"Q18911789","Martin Hood Wilkin","English merchant","","United Kingdom of Great Britain and Ireland","Merchant",1832,1904,"",72
"Q75507420","Edward Henry Beddington","(1819-1872)","Male","","",1819,1872,"",53
"Q18243169","Amalia Jönsson","svensk företagare, handelsidkare","Female","Sweden","",1857,1943,"",86
"Q2776232","Shlomo Zalman Shragai","Israeli politician","Male","Israel","Politician",1898,1995,"",97
"Q322383","Eddie Taylor","American electric blues guitarist and singer","Male","United States of America","Artist",1923,1985,"",62
"Q942573","Gene Fullmer","American boxer","Male","United States of America","Athlete",1931,2015,"",84
"Q1614700","Hertha Schober-Awecker","Austrian regional historian","","Austria","Researcher",1922,1989,"",67
"Q11385533","Ёда, Масацугу","","","","",1703,1783,"",80
"Q6194316","Jim Constable","American baseball player","Male","United States of America","Athlete",1933,2002,"",69
"Q7922239","Vernon Steele","British actor (1882-1955)","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Artist",1882,1955,"",73
"Q4252317","Henri Marie François Lavoix","French musicologist","Male","France","",1846,1897,"",51
"Q2645508","Alfred Mock","German priest and theologian","Male","Germany","Religious figure",1908,2006,"",98
"Q4772299","Anthony Cooke","English humanist scholar","Male","Kingdom of England","Politician",1506,1576,"",70
"Q11309434","James Cook","American lawyer","Male","United States of America","Lawyer",1923,2009,"",86
"Q4801698","Arturo Alsina","Paraguayian writer","Male","Argentina; Paraguay","Artist",1897,1984,"",87
"Q15880723","Piet Laros","Nederlands verzetsstrijder (1901-1997)","Male","Kingdom of the Netherlands","",1901,1997,"",96
"Q1733437","Karl Wilhelm von Brausen","German officer (1723-1801)","Male","Germany","Military personnel",1723,1801,"",78
"Q2416452","Giovanni Battista Adriani","Italian historian","Male","","Researcher",1511,1579,"",68
"Q524575","Maximilian Messmacher","Russian artist (1842-1906)","Male","Russian Empire","Artist",1842,1906,"",64
"Q59631818","John Keith Horsefield","English economist and economic historian","Male","","Researcher",1901,1997,"",96
"Q25189998","Eric Watson","New Zealand cricketer (1925-2017)","Male","New Zealand","Athlete",1925,2017,"",92
"Q1047934","Caspar II. Lerch","südwestdeutscher Adliger","Male","","",1480,1548,"",68
"Q378470","Cao Rui","Chinese emperor","Male","China; Cao Wei","Monarch",205,239,"",34
"Q5217107","Daniel Farrand","American politician","Male","United States of America","Politician",1760,1825,"",65
"Q5179544","Cowboy Pink Williams","Oklahoma politician","Male","United States of America","Politician",1892,1976,"",84
"Q9293230","Lin Juei-ming","historicus","","","Researcher",1950,2018,"",68
"Q4221466","Vadim Nikitovitsj Kiritsjenko","Soviet economist (1931-2000)","Male","Soviet Union","Businessperson",1931,2000,"",69
"Q29246672","Mario Stahl","tekenaar","Male","","",1908,1975,"",67
"Q63161739","William Rivet","William Rivet (1787-1867) 1787 William Rutt was born in Homerton&amp;#91;1&amp;#93; 1828 William Rivet (William Rutt?), of Hackney and 9 New Palace yard, beca...","Male","","",1787,1867,"",80
"Q4237600","Vladimir Krantz","Russian artist (1913-2003)","Male","Russia; Soviet Union; Russian Empire","Artist",1913,2003,"",90
"Q21208691","Augusto Majani","Italian painter (1867-1959)","Male","Italy; Kingdom of Italy","Artist",1867,1959,"",92
"Q4894353","Bernie Collins","Canadian politician","Male","Canada","Politician",1935,2018,"",83
"Q7817556","Tom Shepherd","English cricketer (1889-1957)","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Athlete",1889,1957,"",68
"Q7803740","Tim Jordan","American baseball player","Male","United States of America","Athlete",1879,1949,"",70
"Q11850620","Alberts Zvejnieks","Latvian wrestler","Male","Latvia","Athlete",1902,1987,"",85
"Q24718625","Nathan Kogan","American psychologist","Male","United States of America","Psychologist",1926,2013,"",87
"Q14459429","John Ford Paterson","artist","Male","Australia","Artist",1851,1912,"",61
"Q27902205","Gullan Johansson","Swedish painter","","Sweden","Artist",1914,2000,"",86
"Q6762862","Marie Hartwig","American academic","Female","","",1906,2001,"",95
"Q15882861","Thomas Delahaye","Belgian politician and lawyer","Male","Belgium","Politician",1943,2001,"",58
"Q21543673","August Voigtländer","German classical philologist and teacher","Male","Kingdom of Saxony","Teacher",1800,1828,"",28
"Q2230347","Nicolaas Calkoen","politician","Male","","Politician",1753,1817,"",64
"Q7183423","Philip Dansken Ross","Canadian ice hockey player","Male","","Journalist",1858,1949,"",91
"Q1696120","Johann Schlaginhaufen","German theologian","Male","Germany","Religious figure",1498,1560,"",62
"Q5752266","Carlos Álvarez","Argentinian military personnel","Male","Argentina","Military personnel",1924,2003,"",79
"Q64752326","Giovanni Vitelli","roman-catholic bishop","Male","","Religious figure",1559,1610,"",51
"Q21664420","George V. Forman","American lawyer","Male","United States of America","Lawyer",1841,1922,"",81
"Q2975905","Joseph Colon Trabotto","Italian rabbi","Male","","Rabbi",1420,1480,"",60
"Q7704945","Terry Reynolds","Australian rugby league footballer","Male","Australia","Athlete",1947,2007,"",60
"Q1596650","Heinrich Barthel","German politician (1814-1894)","Male","Germany","Politician",1814,1894,"",80
"Q10571393","Lydia Alsterberg","Swedish athletics competitor","Female","Sweden","Athlete",1902,1983,"",81
"Q6025251","Hannu Olkinuora","Finnish journalist","Male","Finland; Sweden","Journalist",1950,2012,"",62
"Q4886578","Ben Trace","American composer","Male","United States of America","Artist",1890,1976,"",86
"Q18670723","Andrew Henderson","Scottish portrait painter","Male","Kingdom of Great Britain; United Kingdom of Great Britain and Ireland","Artist",1783,1835,"",52
"Q11596670","Shunsuke Inamori","empresariu xaponés (1930–2011)","Male","Japan","Businessperson",1930,2011,"",81
"Q4105707","Edoardo Weber","Italian automotive engineer","Male","Kingdom of Italy","Engineer",1889,1945,"",56
"Q19977234","Catharine Wernicke","Danish pianist","Female","Denmark","Pianist",1789,1862,"",73
"Q19210641","Heinrich Keiter","writer from Germany","Male","","Author",1853,1898,"",45
"Q16065786","George Oliver","English cleric and writer on freemasonry","Male","","Artist",1782,1867,"",85
"Q1967339","Abraham Aruliah Somavarapa","Indian priest and theologian","Male","India; British Raj","Religious figure",1930,2003,"",73
"Q6133911","James Fisher","Scottish footballer (1876-1921)","Male","United Kingdom of Great Britain and Ireland","Athlete",1876,1921,"",45
"Q5000814","Burton Berinsky","photographer","Male","United States of America","Artist",1931,1991,"",60
"Q3876361","Nicola Sgrò","Italian conductor and composer","","Italy; Kingdom of Italy","Artist",1937,2019,"",82
"Q19819964","Åge Bjelke","","","Norway; Denmark","",1552,1603,"",51
"Q473744","Jan Jansz van de Velde","painter from the Northern Netherlands (1620-1662)","Male","Netherlands","Artist",1620,1662,"",42
"Q18163087","Vicente Folch y Juan","Spanish colonial governor","Male","Spain","Military personnel",1755,1829,"",74
"Q8009781","William George Dolman","British artist (1915-2008)","Male","","Artist",1915,2008,"",93
"Q11988531","Martin Daniel Müller","Norwegian farmer and politician","","Norway","Politician",1835,1906,"",71
"Q59627024","Frederick Eugene Fowle","born:1869-11-20|died:1940-04-22|; Fowle, Frederick E. (Frederick Eugene), 1869-; Fowle, Frederick Eugene, 1869-....; Fowle, Frederick E. (Frederick Eugene), 1869-1940; Fowle, Frederick Eugene 1869-1940; Fowle, Frederick E.; Fowle, Frederick E. 1869-","Male","","",1869,1940,"",71
"Q3750808","Francesco Viscardi","Italian association football player (1904-1960)","Male","Italy; Kingdom of Italy","Athlete",1904,1960,"",56
"Q350523","Johann Adam Ney","beeldhouwer","Male","","",1800,1879,"",79
"Q7328668","Richard Richards","British politician (1752–1823)","Male","Kingdom of Great Britain; United Kingdom of Great Britain and Ireland","Politician",1752,1823,"",71
"Q16269147","Paul Zoll","German pianist and music educator","Male","Germany","Pianist",1907,1978,"",71
"Q8340961","Song Pingshun","Chinese politician","Male","","Politician",1945,2007,"suicide",62
"Q7139881","Parry Moon","American electrical engineer","Male","United States of America","Engineer",1898,1988,"",90
"Q4912378","Billy Cook","Northern Irish professional football player and manager (1909-1992)","Male","Northern Ireland","Athlete",1909,1992,"",83
"Q12604196","Shin Dong-woo","striptekenaar","","","",1936,1994,"",58
"Q5713388","Johan August Enhörning","svensk redare","Male","Sweden","Shipowner",1824,1885,"",61
"Q5203458","József Arpad Biró","ruiter","Male","","Athlete",1899,1949,"",50
"Q517132","Auguste Franchomme","French musician","Male","France","Artist",1808,1884,"",76
"Q4013274","Vincenzo Flauti","Italian mathematician","Male","Kingdom of Italy","Researcher",1782,1863,"",81
"Q23296668","József Kőrös","Hungarian guitarist","Male","Hungary","Guitarist",1952,2013,"",61
"Q18123910","Ralph Wells","American professional basketball player","Male","United States of America","Athlete",1940,1968,"",28
"Q15455822","Georg Wagner","Priester, Märtyrer der Reformation","","Germany","Religious figure",1500,1527,"capital punishment",27
"Q719579","Romeo Neri","Italian gymnast, 3 Olympic golds","Male","Italy; Kingdom of Italy","Artist",1903,1961,"",58
"Q3289218","Marcel Martinet","Poet, novelist and playwright","Male","France","Artist",1887,1944,"",57
"Q1118012","László Komár","Hungarian singer","Male","Hungary","Artist",1944,2012,"",68
"Q19932945","Richard Brekle","militair","Male","","Military personnel",1879,1941,"",62
"Q4015086","Vito Li Causi","Italian politician","Male","Italy","Politician",1946,2015,"",69
"Q3631233","Malika Pukhraj","Pakistani singer","Female","India; British Raj","Artist",1912,2004,"",92
"Q1609641","Angelo Cattaneo","Italian footballer (1915-1990)","Male","Italy; Kingdom of Italy","Athlete",1915,1990,"",75
"Q1223438","Dietmar Jäger","Austrian actor","Male","Austria","Artist",1962,2011,"",49
"Q5621317","Gustave Niebaum","Finnish sea captain and winemaker","Male","Grand Duchy of Finland","Politician",1842,1908,"",66
"Q4402411","Рябов Андрей Фёдорович","Бөйөк Ватан һуғышы яугире","","","",1925,2004,"",79
"Q55852135","Adolf von Hertzberg","soldaat uit Perzië (1820-1910)","Male","Prussia","Military personnel",1820,1910,"",90
"Q10294327","Heinz Ebert","German-Brazilian geologist, naturalist, and educator","Male","Brazil","Researcher",1907,1983,"",76
"Q19502034","Bernd Ogan","German writer, germanist and literary historian","Male","Germany","Artist",1942,2019,"",77
"Q55859909","Friedrich Ludwig Ritschl","1773 bis 1844 Beruf/Funktion evangelischer Theologe Konfession evangelisch Namensvarianten Ritschl, Friedrich Ludwig","Male","","",1773,1844,"",71
"Q365359","Mario Echandi Jiménez","President of Costa Rica (1915-2011)","Male","Costa Rica","Politician",1915,2011,"natural causes",96
"Q8248830","He Xiangning","Chinese woman politician and artist (1878-1972)","Female","People's Republic of China; Republic of China (1912–1949)","Politician",1878,1972,"",94
"Q8008161","William Duval","Canadian ice hockey player","Male","Canada","Athlete",1877,1905,"",28
"Q61889676","Anne Carleton","American painter, 1878-1968","Female","United States of America","Artist",1878,1968,"",90
"Q6260791","John Thurman","American football player (1900-1976)","Male","United States of America","Athlete",1900,1976,"",76
"Q6252162","Ludvig Zetterholm","Swedish actor","Male","Sweden","Artist",1818,1873,"",55
"Q1333652","Else Jahn","German worker","Female","Germany","",1901,1945,"",44
"Q5543823","David Ahlberg","Swedish musician","Male","Sweden","Artist",1869,1949,"",80
"Q24350828","Федосеев, Алексей Михайлович","","Male","","",1905,1980,"",75
"Q21664908","Frank Schaettle","politicus","Male","","Politician",1864,1926,"",62
"Q1412140","Rolf Lahr","German jurist","Male","Germany","Jurist",1908,1985,"",77
"Q16404116","Paul Muuli","politician","Male","","Politician",1931,1997,"",66
"Q6969485","Nathaniel Bacon","English Jesuit writer","Male","","Artist",1598,1676,"",78
"Q15973789","Joseph-Louis Bonnet","French politician","Male","France","Politician",1856,1925,"",69
"Q24045831","Bjarne Vanacker","Belgian cyclist (1997-2017)","Male","Belgium","Athlete",1997,2017,"",20
"Q10307839","John Lionel Golden","American playwright (1874-1955)","Male","United States of America","Artist",1874,1955,"",81
"Q48644868","Medea Kakhidze","vertaler","","","",1930,2015,"",85
"Q63895","Paul Oskar Kristeller","German-American philosopher and art historian","Male","United States of America; Germany","Researcher",1905,1999,"",94
"Q11922850","Francesc Subirà Parera","Spanish politician and military personnel (1798-1881)","Male","Spain","Politician",1798,1881,"",83
"Q15162692","Matteo Bosso","Italian presbyter","Male","","Presbyter",1427,1502,"",75
"Q7408241","Sam Templeton","Australian soldier of WW II","Male","","Military personnel",1900,1942,"",42
"Q6687573","Louis Kronenberger","American critic and writer","Male","United States of America","Journalist",1904,1980,"",76
"Q41566864","Giovanni Battista Bonetti","author (16th century)","Male","","",1501,1600,"",99
"Q18093062","Thomas Harmens Gonggryp","(2 juli 1730-19 maart 1814) Glasschilder, schilder. Geboren: 2 juli 1730, Sneek. Gestorven: 19 maart 1814, Leeuwarden.","Male","","",1730,1814,"",84
"Q3393037","François Joseph Oscar Leeuw","Dutch architect","Male","Kingdom of the Netherlands","Architect",1866,1944,"",78
"Q23636207","Panagiotis Ghiokas","Greek politician","Male","Greece","Politician",1900,1986,"",86
"Q16058496","James Roland MacLaren","British actor and playwright","Male","","Playwright",1839,1912,"",73
"Q19518850","Jim Mathieson","Australian rules footballer","Male","","Athlete",1892,1982,"",90
"Q17446950","Mart Vels","onderwijzer","Male","","Teacher",1875,1935,"",60
"Q5297930","Doris Fleischman","American Women's rights journalist","Female","United States of America","Journalist",1891,1980,"natural causes",89
"Q441714","Jean Eudes","French missionary","Male","France","Religious figure",1601,1680,"",79
"Q4147768","Ignatiy Naumovich Granat","uitgever uit Keizerrijk Rusland (1863-1941)","Male","Soviet Union; Russian Empire","Businessperson",1863,1941,"",78
"Q6132934","James Dundas","Scottish recipient of the Victoria Cross","Male","United Kingdom of Great Britain and Ireland","Military personnel",1842,1879,"death in battle",37
"Q67222857","John Schacht","American self-trained artist","Male","","Artist",1938,2009,"",71
"Q7529531","Sir William Clay, 1st Baronet","British politician","Male","Kingdom of Great Britain; United Kingdom of Great Britain and Ireland","Politician",1791,1869,"",78
"Q197818","Zhong Xiang","revolutionair uit China (-1130)","","","Revolutionary",1050,1130,"homicide",80
"Q6471416","Lafayette Guild","Confederate Army officer","Male","United States of America","Military personnel",1825,1870,"",45
"Q5085261","Charlie Moore","Australian rules footballer","Male","","Athlete",1875,1901,"",26
"Q17501996","Johann Gottfried Ageluth","1763-1848","Male","Russian Empire","",1763,1848,"",85
"Q10535161","Johnny McKim","Scottish footballer (1926-2000)","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Athlete",1926,2000,"",74
"Q1364997","Gerhard Reischl","German politician and jurist (1918-1998)","Male","Germany","Politician",1918,1998,"",80
"Q24920","Leen Buis","Dutch road cyclist","Male","Kingdom of the Netherlands","Athlete",1906,1986,"",80
"Q16725849","Valentin Foulquier","French painter and engraver","Male","France","Artist",1822,1896,"",74
"Q4196135","Evgeniĭ Ivanov","Russisch wetenschapper (1884-1967)","Male","Soviet Union; Russian Empire","Researcher",1884,1967,"",83
"Q3972441","Stefano Colonna di Palestrina","militair leider uit Koninkrijk Frankrijk (1490-1548)","Male","Kingdom of France","",1490,1548,"",58
"Q12478592","Charles te Mechelen","","Male","Indonesia","",1841,1917,"",76
"Q11362731","Michiko Namiki","Japanese actress","Female","Japan","Artist",1921,2001,"",80
"Q2343518","Stephan Laurenz de La Roque","kunstschilder","Male","","Artist",1650,1742,"",92
"Q1687019","Jenny Apolant","German Jewish feminist and women's suffrage activist (1874-1925)","Female","Germany","Politician",1874,1925,"",51
"Q1633025","Robert Stone","novelist","Male","United States of America","Artist",1937,2015,"",78
"Q21456360","Marguerite Ranken","kunstschilder","Female","","Artist",1897,1973,"",76
"Q704141","Martim Afonso de Sousa","Portuguese explorer","Male","Portugal; Brazil","Explorer",1500,1571,"",71
"Q3769593","Giulio Chierchini","italian comic book writer and illustrator","Male","Italy","Artist",1928,2019,"",91
"Q1065894","Charles Revson","American-Canadian businessman","Male","United States of America","Businessperson",1906,1975,"",69
"Q1395105","Franz Weichsel","German politician (1887-1964)","Male","Germany","Politician",1887,1964,"",77
"Q5720767","Henry Edwards","British politician","Male","United Kingdom of Great Britain and Ireland","Politician",1820,1897,"",77
"Q28466404","Ragnar Andersson","kunstenaar","","Sweden","Artist",1922,2018,"",96
"Q6245482","John Lucian Smith","United States Marine Corps Medal of Honor recipient","Male","United States of America","Military personnel",1914,1972,"",58
"Q19958900","Alois Barbist","deutscher Baumeister und Architekt","Male","","Architect",1852,1905,"",53
"Q335469","Abu Yahya","Member of al-Qaeda","Male","Libya","Artist",1963,2012,"",49
"Q2499237","Sheldon Jaffery","American bibliographer","Male","United States of America","Bibliographer",1934,2003,"",69
"Q2833131","Alexander Hamilton","Scottish sea captain","Male","Kingdom of Great Britain","Privateer; merchant",1688,1732,"",44
"Q4990571","Margit von Willebrand-Hollmerus","Swedish-speaking writer from Finland","Female","Finland","Artist",1894,1982,"",88
"Q1078878","Christian Balthasar von Hartmannsdorff","rechter","Male","","Judge",1746,1820,"",74
"Q5394393","Ernie Callaghan","English footballer (1907-1972)","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Athlete",1907,1972,"",65
"Q55769303","Lucien Hock","Belgian painter","Male","","Artist",1899,1972,"",73
"Q62088625","Boris Rapoport","Soviet painter","Male","","Artist",1939,2004,"",65
"Q1338029","Emma Graf","Swiss teacher (1865-1926), editor","Female","Switzerland","Teacher",1865,1926,"",61
"Q9156564","Antoni Chlewiński","","Male","Polish–Lithuanian Commonwealth","Engineer",1750,1800,"",50
"Q27959556","Mary Dominis","first mistress of Washington Place in Honolulu","Female","United States of America","",1803,1889,"",86
"Q7004729","Tokugawa Torakichi","","","Japan; Tokugawa Shogunate","",1711,1711,"",0
"Q7905986","V. Alban","politician","Male","India","Politician",1901,1999,"",98
"Q1619511","Hinrich (Hinni) Schwenker","German handball player","","Germany","Athlete",1934,2005,"",71
"Q6297550","Joyce Kirby","British actress (1915-1985)","Female","United Kingdom; United Kingdom of Great Britain and Ireland","Artist",1915,1985,"",70
"Q3184544","Joseph Augustin Crassous","French politician","Male","France","Politician",1755,1830,"",75
"Q6777452","Marty Karow","American football player and coach, basketball coach, baseball player and coach (1904-1986)","Male","United States of America","Athlete",1904,1986,"",82
"Q329800","Abraham Blum","Polish-Jewish activist (1905-1943)","Male","Poland","Politician",1905,1943,"",38
"Q60429542","Olivia Frances Tonge","Welsh scientific illustrator, woodcarver, metal worker, singer, dress designer and author","","United Kingdom","Author",1858,1949,"",91
"Q7821260","Toni Fisher","American musician","Female","United States of America","Artist",1924,1999,"natural causes",75
"Q23814429","John More II","(1510-1547), Son of Sir Thomas More","Male","","",1510,1547,"",37
"Q586593","Jan Franciszek Czartoryski","Polish noble and Dominican","Male","Poland","Religious figure",1897,1944,"",47
"Q42079611","Iain Shedden","Scottish-Australian musician and journalist","Male","United Kingdom","Artist",1957,2017,"",60
"Q3048498","Edward Doubleday","English entomologist and ornithologist","Male","United Kingdom of Great Britain and Ireland","Lepidopterist; ornithologist",1810,1849,"",39
"Q12059275","Tomáš Norbert Koutník","Czech composer and organist","Male","Czech Republic","Artist",1698,1775,"",77
"Q7184744","Philippa de Neville","British noble","Female","","",1386,1453,"",67
"Q10347805","Pedro Vicente de Azevedo","Brazilian politician","Male","Brazil","Politician",1843,1912,"",69
"Q7820493","Tomás Medina Caracas","Colombian geurilla","Male","Colombia","Resistance fighter; drug trafficker",1965,2007,"",42
"Q1914087","Maximilian Skiba","Duits organist","Male","Germany","Merchant; organist",1922,2019,"",97
"Q6171180","Jean Mercier","French Hebraist","Male","France","Researcher",1510,1570,"natural causes",60
"Q2089101","Luis Blanes","Spanish composer and musicologist (1929-2009)","Male","Spain","Artist",1929,2009,"",80
"Q18545278","Ion C. Pena","Romanian journalist, poet, novelist, and epigramist","Male","Romania","Artist",1911,1944,"",33
"Q204864","Princess Helena Victoria of Schleswig-Holstein","British princess","Female","United Kingdom; United Kingdom of Great Britain and Ireland","Politician",1870,1948,"",78
"Q21457583","Mary Fox","English artist","Female","","Artist",1922,2005,"",83
"Q99791","Ernst Balcke","German poet and author","Male","German Empire","Artist",1888,1912,"",24
"Q1697385","John Cottistis","byzantine usurper","Male","Byzantine Empire","",500,537,"",37
"Q5005284","Bülent Oran","Screenwriter, Actor","Male","Turkey","Artist",1924,2004,"",80
"Q3179118","Jimmy Riley","Jamaican musician","Male","Jamaica","Artist",1954,2016,"natural causes",62
"Q5171455","Cornelius Stribling","United States Navy Rear Admiral","Male","United States of America","Military personnel",1796,1880,"",84
"Q47119373","Robert Lehideux","banqueru francés (1904–1968)","Male","France","",1904,1968,"",64
